ID,Drug,Name,SMILES
186,DB00484,Brimonidine,Brc1c(NC2=NCCN2)ccc2nccnc12
187,DB00489,Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
188,DB00490,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
189,DB00491,Miglitol,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
190,DB00492,Fosinopril,CCC(=O)O[C@@H](O[P@@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C
191,DB00494,Entacapone,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
192,DB00497,Oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
193,DB00499,Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
194,DB00500,Tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
195,DB00501,Cimetidine,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
196,DB00502,Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
197,DB00508,Triflupromazine,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
198,DB00510,Valproic acid,CCCC(CCC)C(=O)O
199,DB00514,Dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
200,DB00515,Cisplatin,N[Pt](N)(Cl)Cl
201,DB00519,Trandolapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
202,DB00521,Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
203,DB00523,Alitretinoin,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
204,DB00524,Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
205,DB00527,Cinchocaine,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
206,DB00530,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
207,DB00532,Mephenytoin,CCC1(c2ccccc2)NC(=O)N(C)C1=O
208,DB00533,Rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
209,DB00535,Cefdinir,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
210,DB00536,Guanidine,N=C(N)N
211,DB00537,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
212,DB00540,Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21
213,DB00541,Vincristine,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
214,DB00542,Benazepril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
215,DB00544,Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1
216,DB00545,Pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1
217,DB00547,Desoximetasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
218,DB00548,Azelaic acid,O=C(O)CCCCCCCC(=O)O
219,DB00549,Zafirlukast,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
220,DB00550,Propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1
221,DB00552,Pentostatin,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
222,DB00554,Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
223,DB00555,Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
224,DB00557,Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
225,DB00559,Bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
226,DB00563,Methotrexate,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
227,DB00564,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21
228,DB00569,Fondaparinux,CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O
229,DB00570,Vinblastine,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
230,DB00571,Propranolol,CC(C)NCC(O)COc1cccc2ccccc12
231,DB00572,Atropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
232,DB00573,Fenoprofen,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
233,DB00575,Clonidine,Clc1cccc(Cl)c1NC1=NCCN1
234,DB00580,Valdecoxib,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
235,DB00583,Levocarnitine,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
236,DB00584,Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
237,DB00585,Nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
238,DB00586,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
239,DB00588,Fluticasone propionate,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
240,DB00590,Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
241,DB00591,Fluocinolone acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
242,DB00593,Ethosuximide,CCC1(C)CC(=O)NC1=O
243,DB00594,Amiloride,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
244,DB00596,Ulobetasol,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
245,DB00598,Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
246,DB00603,Medroxyprogesterone acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
247,DB00604,Cisapride,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC
248,DB00605,Sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
249,DB00608,Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
250,DB00611,Butorphanol,Oc1ccc2c(c1)[C@]13CCCC[C@@]1(O)[C@H](C2)N(CC1CCC1)CC3
251,DB00612,Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
252,DB00619,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
253,DB00620,Triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
254,DB00622,Nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
255,DB00623,Fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
256,DB00624,Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
257,DB00627,Niacin,O=C(O)c1cccnc1
258,DB00630,Alendronic acid,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
259,DB00631,Clofarabine,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
260,DB00635,Prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
261,DB00636,Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
262,DB00637,Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
263,DB00640,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
264,DB00641,Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
265,DB00642,Pemetrexed,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1
266,DB00644,Gonadorelin,CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O
267,DB00647,Dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
268,DB00650,Leucovorin,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
269,DB00651,Dyphylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
270,DB00652,Pentazocine,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
271,DB00653,Magnesium sulfate,O=S(=O)([O-])[O-].[Mg+2]
272,DB00654,Latanoprost,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
273,DB00655,Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
274,DB00657,Mecamylamine,CNC1(C)C2CCC(C2)C1(C)C
275,DB00659,Acamprosate,CC(=O)NCCCS(=O)(=O)O
276,DB00661,Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
277,DB00668,Epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1
278,DB00669,Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
279,DB00672,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
280,DB00674,Galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
281,DB00675,Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
282,DB00678,Losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
283,DB00679,Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
284,DB00682,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
285,DB00686,Pentosan polysulfate,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O
286,DB00687,Fludrocortisone,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
287,DB00691,Moexipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O
288,DB00692,Phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
289,DB00694,Daunorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
290,DB00695,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
291,DB00696,Ergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
292,DB00697,Tizanidine,Clc1ccc2nsnc2c1NC1=NCCN1
293,DB00704,Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
294,DB00706,Tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
295,DB00707,Porfimer sodium,CCC1=C2C=C3C(=C(C(=CC4=NC(=CC5=NC(=CC(=C1C)N2)C(=C5CCC(=O)O)C)C(=C4C)CCC(=O)O)N3)C(C)O)C.[Na+]
296,DB00710,Ibandronate,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
297,DB00712,Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
298,DB00714,Apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
299,DB00715,Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
300,DB00716,Nedocromil,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
301,DB00717,Norethisterone,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
302,DB00721,Procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1
303,DB00722,Lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
304,DB00724,Imiquimod,CC(C)Cn1cnc2c(N)nc3ccccc3c21
305,DB00727,Nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
306,DB00731,Nateglinide,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
307,DB00733,Pralidoxime,C[n+]1ccccc1/C=N/O
308,DB00734,Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
309,DB00736,Esomeprazole,COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1
310,DB00741,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
311,DB00744,Zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O
312,DB00745,Modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
313,DB00747,Scopolamine,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
314,DB00749,Etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
315,DB00750,Prilocaine,CCCNC(C)C(=O)Nc1ccccc1C
316,DB00754,Ethotoin,CCN1C(=O)NC(c2ccccc2)C1=O
317,DB00755,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
318,DB00757,Dolasetron,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
319,DB00758,Clopidogrel,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
320,DB00759,Tetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
321,DB00762,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
322,DB00763,Methimazole,Cn1cc[nH]c1=S
323,DB00764,Mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
324,DB00765,Metyrosine,C[C@](N)(Cc1ccc(O)cc1)C(=O)O
325,DB00767,Benzquinamide,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
326,DB00771,Clidinium,C[N@+]12CC[C@H](CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
327,DB00773,Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
328,DB00775,Tirofiban,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
329,DB00776,Oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
330,DB00783,Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
331,DB00787,Acyclovir,Nc1nc(=O)c2ncn(COCCO)c2[nH]1
332,DB00788,Naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
333,DB00790,Perindopril,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
334,DB00794,Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O
335,DB00795,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
336,DB00796,Candesartan cilexetil,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
337,DB00800,Fenoldopam,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
338,DB00804,Dicyclomine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
339,DB00806,Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
340,DB00808,Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
341,DB00810,Biperiden,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
342,DB00813,Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
343,DB00814,Meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
344,DB00816,Orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1
345,DB00819,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1
346,DB00820,Tadalafil,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
347,DB00822,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
348,DB00829,Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
349,DB00831,Trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
350,DB00839,Tolazamide,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
351,DB00843,Donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
352,DB00844,Nalbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
353,DB00846,Flurandrenolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
354,DB00848,Levamisole,c1ccc([C@H]2CN3CCSC3=N2)cc1
355,DB00851,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O
356,DB00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1
357,DB00853,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O
358,DB00860,Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
359,DB00861,Diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
360,DB00863,Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
361,DB00864,Tacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
362,DB00865,Benzphetamine,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
363,DB00868,Benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
364,DB00869,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
365,DB00871,Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
366,DB00876,Eprosartan,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
367,DB00880,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
368,DB00881,Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
369,DB00882,Clomifene,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
370,DB00883,Isosorbide dinitrate,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
371,DB00884,Risedronic acid,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
372,DB00887,Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
373,DB00889,Granisetron,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2
374,DB00898,Ethanol,CCO
375,DB00899,Remifentanil,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1
376,DB00901,Bitolterol,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1
377,DB00903,Etacrynic acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
378,DB00904,Ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
379,DB00905,Bimatoprost,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
380,DB00906,Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
381,DB00907,Cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
382,DB00908,Quinidine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
383,DB00909,Zonisamide,NS(=O)(=O)Cc1noc2ccccc12
384,DB00912,Repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
385,DB00915,Amantadine,NC12CC3CC(CC(C3)C1)C2
386,DB00917,Dinoprostone,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
387,DB00918,Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
388,DB00921,Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
389,DB00924,Cyclobenzaprine,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
390,DB00925,Phenoxybenzamine,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
391,DB00927,Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
392,DB00928,Azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
393,DB00929,Misoprostol,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
394,DB00933,Mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
395,DB00936,Salicylic acid,O=C(O)c1ccccc1O
396,DB00937,Diethylpropion,CCN(CC)C(C)C(=O)c1ccccc1
397,DB00938,Salmeterol,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
398,DB00939,Meclofenamic acid,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
399,DB00945,Acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O
400,DB00947,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O
401,DB00949,Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1
402,DB00952,Naratriptan,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
403,DB00953,Rizatriptan,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
404,DB00956,Hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314
405,DB00957,Norgestimate,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
406,DB00958,Carboplatin,N[Pt]1(N)OC(=O)C2(CCC2)C(=O)O1
407,DB00959,Methylprednisolone,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
