ID,Drug,Name,SMILES
201,DB00489,Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
202,DB00490,Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
203,DB00491,Miglitol,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
204,DB00492,Fosinopril,CCC(=O)O[C@@H](O[P@@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C
205,DB00494,Entacapone,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
206,DB00497,Oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
207,DB00499,Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
208,DB00500,Tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
209,DB00501,Cimetidine,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
210,DB00502,Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
211,DB00508,Triflupromazine,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
212,DB00514,Dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
213,DB00515,Cisplatin,N[Pt](N)(Cl)Cl
214,DB00519,Trandolapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
215,DB00521,Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
216,DB00523,Alitretinoin,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
217,DB00524,Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
218,DB00527,Cinchocaine,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
219,DB00528,Lercanidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1
220,DB00530,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
221,DB00531,Cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1
222,DB00532,Mephenytoin,CCC1(c2ccccc2)NC(=O)N(C)C1=O
223,DB00535,Cefdinir,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
224,DB00536,Guanidine,N=C(N)N
225,DB00537,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
226,DB00540,Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21
227,DB00541,Vincristine,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
228,DB00542,Benazepril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
229,DB00544,Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1
230,DB00545,Pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1
231,DB00547,Desoximetasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
232,DB00548,Azelaic acid,O=C(O)CCCCCCCC(=O)O
233,DB00549,Zafirlukast,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
234,DB00550,Propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1
235,DB00552,Pentostatin,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
236,DB00553,Methoxsalen,COc1c2occc2cc2ccc(=O)oc12
237,DB00554,Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
238,DB00555,Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
239,DB00557,Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
240,DB00559,Bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
241,DB00563,Methotrexate,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
242,DB00564,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21
243,DB00569,Fondaparinux,CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O
244,DB00570,Vinblastine,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
245,DB00571,Propranolol,CC(C)NCC(O)COc1cccc2ccccc12
246,DB00572,Atropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
247,DB00573,Fenoprofen,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
248,DB00575,Clonidine,Clc1cccc(Cl)c1NC1=NCCN1
249,DB00583,Levocarnitine,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
250,DB00584,Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
251,DB00585,Nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
252,DB00586,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
253,DB00588,Fluticasone propionate,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
254,DB00589,Lisuride,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
255,DB00590,Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
256,DB00591,Fluocinolone acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
257,DB00593,Ethosuximide,CCC1(C)CC(=O)NC1=O
258,DB00594,Amiloride,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
259,DB00596,Ulobetasol,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
260,DB00598,Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
261,DB00603,Medroxyprogesterone acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
262,DB00604,Cisapride,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC
263,DB00605,Sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
264,DB00608,Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
265,DB00611,Butorphanol,Oc1ccc2c(c1)[C@]13CCCC[C@@]1(O)[C@H](C2)N(CC1CCC1)CC3
266,DB00612,Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
267,DB00619,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
268,DB00620,Triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
269,DB00622,Nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
270,DB00623,Fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
271,DB00624,Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
272,DB00627,Niacin,O=C(O)c1cccnc1
273,DB00630,Alendronic acid,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
274,DB00631,Clofarabine,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
275,DB00635,Prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
276,DB00636,Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
277,DB00637,Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
278,DB00638,Inulin,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO[C@]5([C@H]([C@@H]([C@H](O5)CO)O)O)CO[C@]6([C@H]([C@@H]([C@H](O6)CO)O)O)CO[C@]7([C@H]([C@@H]([C@H](O7)CO)O)O)CO[C@]8([C@H]([C@@H]([C@H](O8)CO)O)O)CO[C@]9([C@H]([C@@H]([C@H](O9)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO)O)O)O)O
279,DB00640,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
280,DB00641,Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
281,DB00642,Pemetrexed,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1
282,DB00644,Gonadorelin,CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O
283,DB00647,Dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
284,DB00650,Leucovorin,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
285,DB00651,Dyphylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
286,DB00652,Pentazocine,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
287,DB00653,Magnesium sulfate,O=S(=O)([O-])[O-].[Mg+2]
288,DB00654,Latanoprost,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
289,DB00655,Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
290,DB00657,Mecamylamine,CNC1(C)C2CCC(C2)C1(C)C
291,DB00659,Acamprosate,CC(=O)NCCCS(=O)(=O)O
292,DB00661,Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
293,DB00663,Flumethasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
294,DB00668,Epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1
295,DB00669,Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
296,DB00672,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
297,DB00674,Galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
298,DB00675,Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
299,DB00678,Losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
300,DB00679,Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
301,DB00682,Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
302,DB00686,Pentosan polysulfate,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O
303,DB00687,Fludrocortisone,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
304,DB00691,Moexipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O
305,DB00692,Phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
306,DB00694,Daunorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
307,DB00695,Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
308,DB00696,Ergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
309,DB00697,Tizanidine,Clc1ccc2nsnc2c1NC1=NCCN1
310,DB00699,Nicergoline,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13
311,DB00704,Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
312,DB00706,Tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
313,DB00710,Ibandronate,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
314,DB00712,Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
315,DB00714,Apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
316,DB00715,Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
317,DB00716,Nedocromil,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
318,DB00717,Norethisterone,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
319,DB00719,Azatadine,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
320,DB00721,Procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1
321,DB00722,Lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
322,DB00724,Imiquimod,CC(C)Cn1cnc2c(N)nc3ccccc3c21
323,DB00727,Nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
324,DB00731,Nateglinide,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
325,DB00733,Pralidoxime,C[n+]1ccccc1/C=N/O
326,DB00734,Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
327,DB00736,Esomeprazole,COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1
328,DB00741,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
329,DB00744,Zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O
330,DB00745,Modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
331,DB00747,Scopolamine,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
332,DB00748,Carbinoxamine,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
333,DB00749,Etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
334,DB00750,Prilocaine,CCCNC(C)C(=O)Nc1ccccc1C
335,DB00751,Epinastine,NC1=NCC2c3ccccc3Cc3ccccc3N12
336,DB00754,Ethotoin,CCN1C(=O)NC(c2ccccc2)C1=O
337,DB00755,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
338,DB00757,Dolasetron,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
339,DB00758,Clopidogrel,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
340,DB00759,Tetracycline,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
341,DB00762,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
342,DB00763,Methimazole,Cn1cc[nH]c1=S
343,DB00764,Mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
344,DB00765,Metyrosine,C[C@](N)(Cc1ccc(O)cc1)C(=O)O
345,DB00767,Benzquinamide,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
346,DB00768,Olopatadine,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21
347,DB00770,Alprostadil,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
348,DB00771,Clidinium,C[N@+]12CC[C@H](CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
349,DB00773,Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
350,DB00775,Tirofiban,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
351,DB00776,Oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
352,DB00780,Phenelzine,NNCCc1ccccc1
353,DB00783,Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
354,DB00784,Mefenamic acid,Cc1cccc(Nc2ccccc2C(=O)O)c1C
355,DB00787,Acyclovir,Nc1nc(=O)c2ncn(COCCO)c2[nH]1
356,DB00788,Naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
357,DB00790,Perindopril,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
358,DB00794,Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O
359,DB00795,Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
360,DB00796,Candesartan cilexetil,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
361,DB00800,Fenoldopam,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
362,DB00804,Dicyclomine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
363,DB00806,Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
364,DB00808,Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
365,DB00810,Biperiden,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
366,DB00813,Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
367,DB00814,Meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
368,DB00816,Orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1
369,DB00819,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1
370,DB00820,Tadalafil,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
371,DB00822,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
372,DB00829,Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
373,DB00831,Trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
374,DB00834,Mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
375,DB00835,Brompheniramine,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
376,DB00839,Tolazamide,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
377,DB00843,Donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
378,DB00844,Nalbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
379,DB00846,Flurandrenolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
380,DB00847,Cysteamine,NCCS
381,DB00848,Levamisole,c1ccc([C@H]2CN3CCSC3=N2)cc1
382,DB00851,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O
383,DB00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1
384,DB00853,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O
385,DB00856,Chlorphenesin,OCC(O)COc1ccc(Cl)cc1
386,DB00859,Penicillamine,CC(C)(S)[C@@H](N)C(=O)O
387,DB00860,Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
388,DB00861,Diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
389,DB00863,Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
390,DB00864,Tacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
391,DB00865,Benzphetamine,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
392,DB00868,Benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
393,DB00869,Dorzolamide,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
394,DB00871,Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
395,DB00873,Loteprednol,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)OCCl
396,DB00876,Eprosartan,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
397,DB00880,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
398,DB00881,Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
399,DB00882,Clomifene,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
400,DB00883,Isosorbide dinitrate,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
401,DB00884,Risedronic acid,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
402,DB00887,Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
