Name,Disease,Description
fibrosis,D005355,"Fibrosis, classified under the OMIM ID 'D005355', is a complex disease characterized by the excessive deposition of extracellular matrix proteins, ultimately leading to scarring, and affecting various organs such as the lungs, kidneys, heart, and liver. Genes commonly linked to fibrosis include SMA, COL3A1, and TGFB1, which encode for proteins like smooth muscle actin, collagen type III, and Transforming Growth Factor Beta 1 respectively. Mutations affecting these genes often disrupt the TGF-?? signal pathway, that is key in controlling growth, proliferation, differentiation, and apoptosis of cells, and thus can contribute to fibrosis development. There are several common types of this disease, including cystic fibrosis, pulmonary fibrosis, and liver fibrosis, each displaying unique clinical manifestations. Typical symptoms could include dyspnea, chronic cough, fatigue, and appetite loss, while linked comorbidities often include diseases like diabetes, hypertension, atherosclerosis, and various forms of organ failure. Its treatment relies on drugs such as Pirfenidone and Nintedanib, which slow down the rate of lung function loss by inhibiting TGF-?? and fibroblast proliferation, as well as Esbriet, an anti-fibrotic drug working through an unknown mechanism to slow lung function decline. Genetic factors of fibrosis typically indicate an autosomal dominant pattern of inheritance, but cases of sporadic and recessive inheritance have been reported. Diagnosing fibrosis often involves histological examination of tissue biopsies, pulmonary function tests or imaging techniques such as high-resolution computed tomography, with further genetic testing offering insight into specific gene mutations. Understanding the complex interplay of genetic factors, cellular mechanisms, and drug interventions is crucial for ongoing research potential tailored therapeutics for fibrosis."
glomerulonephritis,D005921,"Glomerulonephritis (OMIM ID 'D005921') is an inflammatory condition affecting the kidneys, characterized mainly by impaired kidney function, increased urine protein (proteinuria), hematuria, hypertension, and varying degrees of edema. This ailment encompasses a broad spectrum of disorders that can present as acute or chronic condition, fundamentally involving an immune-mediated attack on the glomerulus, such as IgA Nephropathy, Post-Streptococcal Glomerulonephritis, and Goodpasture Syndrome. The pathogenesis often implicates genes such as PLG, CFH, and C3, where abnormalities could induce aberrations in key molecular and cellular components of the complement pathway. This pathway, when dysregulated, can trigger an inflammatory response on the kidney glomerulus, leading to glomerulonephritis. The condition is typically diagnosed using renal biopsy which reveals the presence of immune complexes or the proliferation of cellular components. The treatment regimen generally includes corticosteroids like Prednisone, immunosuppressants like Cyclophosphamide, and angiotensin-converting enzyme inhibitors like Lisinopril to manage the inflammation and ameliorate kidney function. However, persistent inflammation can lead to glomerular scarring (glomerulosclerosis) and eventually chronic kidney disease (CKD), presenting a major complication and comorbidity. Moreover, the disease's inheritance pattern can be both sporadic and familial, where multiple genes and environmental factors likely contribute to its complex genetic backdrop, emphasizing the importance of a comprehensive family medical history for a precise diagnosis and effective disease management."
"glomerulosclerosis, focal segmental",D005923,"Focal Segmental Glomerulosclerosis (FSGS), identifiable by the Online Mendelian Inheritance in Man (OMIM) ID 'D005923', is a chronic progressive kidney disease characterized by scarring of the glomeruli. Studies symbolize key genes such as NPHS1, NPHS2, and APOL1 with expression of respective proteins nephrin, podocin, and Apolipoprotein L1. Mutations in these genes, including reported variations in APOL1, have been implicated in conferring a heightened risk of developing FSGS. The disease is primarily categorized into primary (idiopathic) and secondary types, each with diverse clinical manifestations, ranging from asymptomatic proteinuria to nephrotic syndrome. The associated signal pathway primarily involves podocyte injury leading to impairment of the glomerular filtration barrier. Both genetic and non-genetic factors such as viral infections and drug toxicity may contribute to this injury. Common therapeutic agents include corticosteroids, immunosuppressants like cyclosporine, and angiotensin-converting enzyme inhibitors, which work to reduce proteinuria and control hypertension. The clinical course can also be complicated by comorbidities such as chronic kidney disease and end-stage renal disease. An autosomal dominant or recessive inheritance mode may mediate the underlying genetic component of FSGS. However, the diagnostic assessment fundamentally relies on renal biopsy for histopathological evaluation of the glomeruli, with evidence of segmental scarring in glomeruli serving as the primary criterion for diagnosis. Advanced laboratory tests like gene sequencing further enable genetic characterization of the disease. This amalgamation of diverse information underlines the complex nature of FSGS and the multi-faceted strategies encompassing diagnosis, management, and genetic counseling essential to deal with this disorder."
hepatitis,D006505,"Hepatitis, a liver disease marked by inflammation and liver cell damage, comes in several types including Hepatitis A, B, C, D, and E, each associated with different viruses. It is significantly linked with genes like HAVCR1 (Hepatitis A virus cellular receptor 1), essential for viral attachment, HBV X Protein for Hepatitis B, and mutations in ELAVL1 for Hepatitis C. Additionally, multiple signal pathways are implicated in disease pathology, spanning virus entry and replication cycles, with key components like JAK-STAT pathway proteins and regulators of innate immune responses. Commonly used treatments for hepatitis include antiviral drugs like entecavir, lamivudine, and tenofovir, primarily acting by inhibiting viral polymerase and consequentially viral replication. Chronic hepatitis may lead to severe complications such as cirrhosis or hepatocellular carcinoma, while comorbidities include chronic kidney disease and diabetes. Clinically, patients often report fatigue, yellowish skin (jaundice), and abdominal pain. Hepatitis viruses infect hepatocytes directly, causing hepatocellular necrosis and activation of cytokines and inflammatory responses, resulting in liver dysfunction. Though transmission patterns vary among types, there is a genetic component associated with disease susceptibility, particularly with HLA-related genes, like HLA-DP and HLA-DQ alleles. In terms of diagnosis, antibody detection (HAV IgM, HBsAg), HCV RNA testing, liver function test abnormalities, and imaging techniques like ultrasound can shed light on disease status and severity. As hepatitis is a significant global disease burden, awareness of its genetic, molecular, and clinical features is a prerequisite for improved patient management strategies."
hyperglycemia,D006943,"Hyperglycemia (OMIM ID: D006943) is a complex endocrine disorder characterized by an excessive amount of glucose in the bloodstream, often associated with aberrations in several genes, such as KCNJ11, ABCC8, and GCK, which encode the proteins Kir6.2, SUR1, and glucokinase respectively. Aberrations in these genes generally disrupt insulin signaling pathways, particularly the glucose transporter 4 (GLUT4) pathway, culminating in inefficient glucose uptake and metabolism within cells. Various hypoglycemic agents such as Metformin (inhibits hepatic glucose production), Sulfonylureas (stimulate insulin release), and Thiazolidinediones (enhance sensitivity to insulin) are commonly utilized in symptomatic management and disease amelioration. Complications can spiral into diabetes mellitus, nephropathy, and retinopathy, with comorbidities such as obesity, hypertension, and cardiovascular disease common. Clinically, patients often present with polyuria, polydipsia, and unexplained weight loss, and in severe cases, lead to hyperglycemic emergencies like diabetic ketoacidosis (DKA) and hyperosmolar hyperglycemic state (HHS). Two common types of the disease are acute and chronic hyperglycemia, with severity and long-term complications differing markedly between them. Hyperglycemia may be inherited in an autosomal dominant manner, as seen in persistent hyperinsulinemic hypoglycemia of infancy (PHHI), although most cases seem to have a polygenic inheritance. Diagnosis relies on blood glucose testing with fasting blood glucose levels above 126 mg/dL or random levels above 200 mg/dL confirming hyperglycemia. Hence, robust genetic studies, clinical symptomatology, and precise diagnostic criteria contribute to understanding this complex disorder, enabling effective treatment strategies.
"
hyperinsulinism,D006946,"Hyperinsulinism, quantified by OMIM ID 'D006946', is an inherited metabolic disorder typically characterized by inappropriate secretion of insulin, leading to profound hypoglycemia. On the underlying genetic level, mutations in multiple genes, such as ABCC8, KCNJ11, and GCK are predominantly associated with the disease, responsible for encoding various subunits of the ATP-sensitive potassium (KATP) channel in pancreatic beta islet cells or the glucokinase enzyme participating in insulin secretion. Mutations in these genes alter the functionality of the KATP channel or enzyme, causing uncontrolled insulin secretion leading to low blood sugar levels. Hyperinsulinism is commonly classified into two forms, diffuse and focal, inherited in an autosomal recessive or dominant pattern. Symptoms typically manifest as sweating, irritability, poor feeding, and even seizures or coma due to severe, persistent hypoglycemia. Diazoxyde, Octreotide, and Nifedipine are commonly used pharmaceutical interventions, with different mechanisms of action, including enhancing insulin secretion, inhibiting insulin secretion via somatostatin receptor 2, and calcium channel blockade respectively. These drugs play a central role in managing the recurrent hypoglycemic episodes associated with the disease. Diagnostics emphasize insulin, glucose, and C-peptide levels predominantly, along with genetic testing to identify specific disease-causing mutations. Complications linked to long-standing hyperinsulinism encompass developmental delay and permanent brain damage due to persistent hypoglycemia. Therefore, prompt recognition and effective management of hyperinsulinism are vital to preclude debilitating outcomes.
"
hypertrophy,D006984,"Hypertrophy, a disease characterized by the enlargement of an organ or tissue due to increased cell size, can result from mutations in various genes including MYH7, TNNT2, and TNNI3. These, among others, primarily influence cardiac function, abnormally stimulating the PI3K/AKT/mTOR pathway - a common signaling pathway associated with cell growth and proliferation. Notably, common treatments encompass medications that generally target pathophysiological processes or symptoms of the disease, including beta-blockers (e.g., Metoprolol acting by slowing the heart rate and reducing blood pressure), angiotensin receptor blockers (e.g., Losartan functioning via the inhibition of angiotensin II effects), and diuretics (e.g., Furosemide inducing diuresis through inhibition of sodium reabsorption in the kidney). Long-term management may involve addressing any comorbidities, such as hypertension or diabetes, to mitigate the risk of further complications like heart failure or arrhythmias. Patients typically present with exertional dyspnea, syncope, or chest pain, crucial diagnostic indicators that are corroborated with electrocardiograms, cardiac MRI, or the detection of an associated pathogenic variant via genetic testing. The two main types of this condition are hypertrophic cardiomyopathy (when affecting the heart) and muscular hypertrophy (when influencing the muscles). Both conditions are often inherited in an autosomal dominant manner, underscoring the significance of a predictive family history in evaluating risk and prognosis. Thus, an integrated consideration of the underlying genetic anomalies, signaling pathways, associated medications, comorbidities, symptoms, and diagnostic options is paramount in the effective management of hypertrophy."
intestinal diseases,D007410,"Intestinal diseases, identified by OMIM ID 'D007410', encompass a wide variety of gastrointestinal disorders, highlighting diverse pathologies like Inflammatory Bowel Disease (IBD), Celiac Disease, and Irritable Bowel Syndrome (IBS), among others. Crucial genes implicated include NOD2 associated with Crohn's disease, a subtype of IBD, HLA-DQ with Celiac Disease, and SCNN1B noted in IBS, all of which influence protein production or mutations causing varying disruptions in the intestinal tract's normative function. Predominant signalling pathways include the NF-kB pathway, pivotal in mediating intestinal inflammation, and the immune response, underscoring the role of key cellular and molecular components like cytokines and leukocytes. Therapeutic management typically involves administration of drugs such as corticosteroids that reduce inflammation, immunosuppressants like azathioprine often employed in the treatment of IBD, and gluten-free diets in cases of Celiac. Comorbidities may include anemia, osteoporosis, or colorectal cancer, while complications like perforation or strictures may arise from untreated or severe cases. Usually chronic, these diseases' nature generally present with clinical symptoms of varying severity, with common manifestations being abdominal pain, diarrhea, weight loss, and malnutrition. Heredity patterns are complex, frequently presenting as multifactorial or polygenic inheritances although some, like Celiac's Disease, have notable hereditary components with around 10% of first-degree relatives also affected. Diagnostic criteria involve a conglomerate of imaging studies, endoscopic procedures, histological findings, and exclusion of other causes, while genetic testing can reveal predisposition to certain specific pathologies."
"neoplasms, experimental",D009374,"Neoplasms, experimental (OMIM ID: D009374), are essentially bioengineered tumour samples designed and implemented in the context of medical research and modeling. These tumours are marked by mutations associated with several genes, including the KRAS, BRAF, and TP53 genes, which contribute critically to tumorigenesis and metastasis. For example, KRAS mutations often promote sustained cell growth and survival, aiding in cancer progression. In terms of signal pathways, a key one implicated in this disease is the PI3K/AKT/mTOR pathway, where aberrant activation tends to drive various aspects of the neoplastic process, like uncontrolled cell proliferation. Therapeutically, a variety of drugs, such as monoclonal antibodies like Avastin, small molecules inhibitors like Tarceva, and immunotherapies like Keytruda, are frequently used. Avastin works by inhibiting vascular endothelial growth factor, thus starving the tumour of its blood supply, while Tarceva inhibits EGFR tyrosine kinase activity, blocking signal transduction and inducing cell death. Meanwhile, Keytruda boosts the patient's immune system to fight against tumour cells. The patient may also suffer from associated comorbidities like cachexia and paraneoplastic syndromes, and complications like metastasis to vital organs. This nature of neoplasms, experimental varies widely, encompassing everything from benign growths to highly aggressive, malignant cancers. Clinical symptoms vary but may include palpable masses, unexplained weight loss, fatigue, and pain. The precise type of neoplasm depends on the underlying genetic manipulations, giving rise to contrasts like carcinomas, sarcomas, or lymphomas. These neoplasms do not follow the traditional inheritance patterns seen in most genetic diseases given their experimental nature. Diagnosis typically involves a combination of medical imaging, laboratory tests, and histopathological assessment of biopsy samples, to evaluate tumour size, extent, type and potential genetic mutations."
"neovascularization, pathologic",D009389,"Pathologic neovascularization (OMIM ID D009389) is an abnormal proliferation of blood vessels, typically observed in diseases such as age-related macular degeneration (AMD), diabetic retinopathy, and certain forms of cancer. This complex process is driven by various genetic and molecular factors, involving genes and proteins such as VEGF (vascular endothelial growth factor), PDGF (platelet-derived growth factor) and HIF-1?? (hypoxia-inducible factor 1-alpha), which stimulate angiogenesis under pathological conditions. The key signaling pathway influencing this phenomenon is the VEGF pathway, where the upregulated VEGF expression results in an increased proliferation of endothelial cells and hence the formation of new blood vessels. Common pharmaceutical interventions for the condition primarily target this VEGF pathway with drugs such as ranibizumab, bevacizumab, and aflibercept, which effectively inhibit VEGF, thereby preventing further angiogenesis. Typical clinical manifestations include vision loss, pain, swelling, and bleeding, dependent on the location and scale of abnormal vasculature. Pathologic neovascularization can be categorized into numerous types based on its occurrence in different diseases such as proliferative diabetic retinopathy, wet AMD, or tumorous angiogenesis. Although mostly associated with acquired pathological conditions, certain inherited conditions like von Hippel-Lindau disease also demonstrate this anomalous upsurge in angiogenesis due to mutations in VHL gene. Diagnosis is generally achieved through imaging techniques like fluorescein angiography and OCT (optical coherence tomography) that help visualize the extent of neovascularization accurately. In essence, pathologic neovascularization signifies a crucial clinical concern, demanding comprehensive understanding of its complex genetic and cellular underpinnings for design of targeted therapeutic strategies."
nephrosclerosis,D009400,"Nephrosclerosis, OMIM ID 'D009400', is a progressive renal disease characterized by hardening of the renal arterioles, leading to systolic hypertension, which consecutively intensifies renal ischemia. Commonly associated with genes such as AGTR1, ACE, and APOE, this disease frequently presents variations in such genes that influence the balance between vasoconstrictive angiotensin II and vasodilative bradykinin. The renin-angiotensin system (RAS) signalling pathway, critical in systolic blood pressure regulation, is believed to play a central role in its pathogenesis. Various drugs, including ACE inhibitors (e.g., lisinopril), angiotensin II receptor blockers (e.g., losartan), and diuretics (e.g., furosemide) are commonly used for treatment. Their mechanisms of action involve lowering arterial pressure, decreasing vascular resistance, promoting natriuresis, and subsequently reducing strain on the glomeruli. This disease often coexists with complications like chronic kidney disease, hypertension, and cardiovascular disease. Clinically, nephrosclerosis can manifest with few outward signs until advancing enough to cause kidney function impairment resulting in proteinuria, or even nephrotic syndrome. Further divided into two types, benign and malignant, benign form is more prevalent but only discovered incidentally during autopsies while malignant is relatively rare but exhibited with more aggressive hypertension and kidney damage. It appears to follow multifactorial inheritance, often influenced by a combination of environmental and genetic factors, each with a small contributory effect. The diagnosis is typically confirmed via renal imaging using ultrasound or MRI techniques and renal biopsy if further information is needed. Understanding nephrosclerosis is a multidisciplinary endeavor calling on expertise in clinical medicine, genetics, and pharmacology."
nephrotic syndrome,D009404,"Nephrotic syndrome (OMIM ID 'D009404') is a kidney disorder characterized by heavy proteinuria, hypoalbuminemia, hyperlipidemia, and edema, typically arising from damage to the glomeruli causing aberrant filtration processes. Pathogenesis typically involves mutations in genes like NPHS1, NPHS2, and WT1, encoding nephrin, podocin, and Wilms tumor 1 protein respectively, integral to maintaining glomerular filtration barrier integrity. These mutations invariably trigger disruptions in the podocyte slit diaphragm signaling pathway, leading to glomerular dysfunction. Standard therapeutic strategies encompass corticosteroids like Prednisone, immunosuppressants like Cyclosporine, and ACE inhibitors such as Lisinopril. These drugs work by modulating immune responses, inhibiting inflammatory mediators and reducing proteinuria respectively. Alongside, nephrotic syndrome commonly associates with comorbidities including infections, thromboembolism, and cardiovascular disease. The disorder is heterogeneous - broadly categorized as primary or secondary, with primary further subclassified into minimal change disease, focal segmental glomerulosclerosis, and membranous nephropathy. The syndrome's inheritance pattern varies with etiology, predominantly exhibiting autosomal recessive inheritance in the case of gene mutation-related primary nephrotic syndrome, evidenced by familial cases of NPHS1 or NPHS2 mutations. Diagnosis is usually established on clinical features and lab findings like elevated urinary protein, low serum albumin and blood lipid panel tests. Proteinuria of 3.5g or more per day in adults, or urine protein/creatinine ratio >2 in children typically confirm the diagnosis. Further certain genetic and renal biopsy testing might be employed to discern the exact disease type and guide treatment strategy."
uremia,D014511,"Uremia, delineated under the OMIM ID 'D014511', is a severe state of renal failure that manifests fundamentally through associated genes or mutations including AGXT, SLC22A12, and UMOD, with abnormal phenotypes highlighted by an insufficiency of the kidney's filtration function. It's implications impinge on the renal tubules' reabsorption capacity, launching a cascading effect through related signal pathways such as the mTOR signalling pathway, where disruption in cellular response may propagate the disease. Pharmaceutically, treatments often include agents like sevelamer, cinacalcet, and erythropoietin, which respectively stabilize phosphate levels, modulate calcium-sensing receptors, and stimulate red blood cell production. Uremia often exists as a terminal stage complication of chronic renal failure, posing risks for cardiovascular diseases and infections due to compromised immune defense. Marked by elevated levels of urea and other nitrogenous waste in the bloodstream, clinical symptomatic manifestations typically involve fatigue, loss of appetite, and cognitive impairment. Uremia can present as both acute and chronic types and has no known clinical meiotic patterns. However, several case studies highlight potent genetic components, as seen in the higher prevalence in individuals with single nucleotide polymorphisms (SNP) in the aforementioned genes. Diagnostically, uremia is ascertained by clinical presentation and laboratory testing, including measuring blood urea nitrogen (BUN), creatinine, and glomerular filtration rate (GFR). The amalgamation of these intricate facets underpins our understanding of this complex condition, warranting rigorous interventional strategies.
"
glucose intolerance,D018149,"Glucose intolerance, classified under OMIM ID 'D018149', is a metabolic disorder characterized by the body's impaired ability to regulate blood glucose levels, typically exhibiting clinical symptoms such as excessive thirst, frequent urination, unexplained weight loss, and chronic fatigue. Variants in multiple genes, including TCF7L2, which plays a significant role in beta-cell function, GCK, affecting glucose sensor mechanism, and SLC30A8, modulating insulin secretion, have been linked to a higher risk of developing glucose intolerance. The disease's pathophysiology involves a disturbance in the insulin-signaling pathway, with key cellular components such as insulin receptors, PI3K, and glucose transporter type 4 (GLUT4) experiencing a decrease in activity or function, leading to reduced glucose uptake. Pharmacological management typically involves the use of agents such as metformin, which decreases hepatic glucose production, sulfonylureas like glimepiride stimulating insulin release, and acarbose inhibiting carbohydrate absorption to prevent postprandial glucose spikes. This disorder operates under an autosomal dominant inheritance pattern and is often associated with comorbidities like obesity, cardiovascular diseases, and Type 2 diabetes if left untreated. There are primarily two types of the disease: impaired fasting glucose and impaired glucose tolerance. Diagnostic criteria include fasting plasma glucose levels of 6.1 mmol/L to 6.9 mmol/L, or 2-hour post-glucose levels of 7.8 mmol/L to 11.0 mmol/L, as determined by an oral glucose tolerance test. As such, understanding the genetic, cellular, and clinical aspects of glucose intolerance is crucial for appropriate management and treatment initiation."
metabolic syndrome x,D024821,"Metabolic Syndrome X, also known as Insulin Resistance Syndrome as represented by OMIM ID 'D024821', is a complex and multifaceted disease rooted in metabolic dysregulation. Genetic factors such as mutations in the genes encoding Peroxisome proliferator-activated receptor-gamma (PPAR??), leptin (LEP), and adiponectin (ADIPOQ) have been implicated in the disease's occurrence. These genes are key players in the insulin signaling pathway, responsible for glucose metabolism, and abnormalities can lead to insulin resistance. Patients typically exhibit clinical signs such as elevated blood pressure, high blood glucose levels, excess body fat around the waist, and abnormal cholesterol or triglyceride levels. Pharmacological interventions commonly include Metformin, an insulin sensitizer that improves glucose metabolism, thiazolidinediones like Pioglitazone which enhance the function of PPAR??, and statins such as Atorvastatin which help improve lipid profiles. The disease shares common comorbidities with conditions including type 2 diabetes, non-alcoholic fatty liver disease, and cardiovascular diseases due to the common pathway of metabolic dysfunction. Metabolic Syndrome X is an immense concern for public health, representing a group of interconnected physiology anomalies that increase the risk of developing cardiovascular disease and Type 2 diabetes. Precise diagnostic criteria include at least three of the following five conditions: high fasting glucose, high blood pressure, high triglycerides, low HDL cholesterol, and abdominal obesity, usually assessed using blood tests and measurements. Additionally, the disease may exhibit autosomal dominant inheritance patterns through polymorphisms such as in the PPAR?? gene, reflecting the strong genetic component in Metabolic Syndrome X."
atherosclerosis,D050197,"Atherosclerosis, a chronic inflammatory disease coded as 'D050197' in the Online Mendelian Inheritance in Man (OMIM) database, is characterized by the accumulation of plaques within the arteries and an underlying genetic component. Pathologic progressions are linked to mutations in genes such as LPA and p27Kip1, and proteins like apolipoprotein B (ApoB) and low-density lipoprotein cholesterol (LDL-C). Also, the nuclear factor kappa-B (NF-kB) signal pathway plays a significant role in inflammatory responses seen in atherosclerosis, with key components including tumor necrosis factor (TNF) and transforming growth factor beta (TGF??). Clinically, atherosclerosis manifests with symptoms including fatigue, chest pain, shortness of breath, and heart palpitations. Different types of this disease have been categorized based on the arteries affected, often leading to coronary artery disease, carotid artery disease, or peripheral artery disease. Comorbidities frequently involve hypertension, diabetes and obesity. The disease is predominantly sporadic, though a small fraction exhibits autosomal dominant inheritance patterns with risk-raising polymorphisms in LDLR, APOB, and PCSK9 genes amongst others. Pharmacological intervention primarily incorporates statins, such as atorvastatin and rosuvastatin, which inhibit HMG-CoA reductase and decrease LDL production, as well as antiplatelet drugs like clopidogrel, which inhibit platelet aggregation. Advanced diagnostic techniques include lipid panel tests, stress tests, coronary angiography, and carotid ultrasound which can monitor and evaluate the extent of the disease throughout its progression."
"abnormalities, multiple",D000015,"Multiple abnormalities, associated with OMIM ID ""D000015"", is a complex congenital disorder characterized by structural and functional alterations in numerous genetic loci. Key genes implicated in this disease include TP53, NOTCH1, and BRCA1, each harboring unique mutations that disrupt regular cell regulation processes and result in anomalous phenotypes. This disorder typically manipulates the NF-kappa B signal pathway, delving into the core component of cellular growth, protein synthesis, and immune responses. Traditional treatment protocols often include agents like Tamoxifen, an estrogen receptor antagonist, Trastuzumab, a monoclonal antibody blocking HER2-neu, and Rituximab, targeting CD20 on B-cells, to suppress tumor growth and dissemination. Coupled with these drastic genetic changes, patients often present with multifarious comorbidities, including cardiovascular disease, cognitive impairment, and increased susceptibility to secondary malignancies. Broadly, the disease manifests clinically as a variety of symptoms like abnormal growth patterns, intellectual disability, and organ dysfunction, highlighting the chaotic nature of this disease. There are several subtypes associated with differing genetic regions and varying severity of abnormalities. The inheritance pattern of multiple abnormalities is generally autosomal dominant, but occasional cases of autosomal recessive, X-linked, and mosaic patterns have been reported, underscoring the genetic heterogeneity of the condition. To establish a definitive diagnosis, a combination of genetic testing, including genome sequencing and comparative genomic hybridization, is used, aided by detailed phenotypic characterizations including imaging and laboratory evaluations. This comprehensive approach facilitates accurate diagnosis, prognosis, and treatment planning for patients afflicted with these complex, multidimensional abnormalities.
"
arthritis,D001168,"Arthritis, a multifaceted disease classified under OMIM ID 'D001168', is chronic and debilitating in nature, primarily characterized by inflammation of joints leading to varying degrees of pain, stiffness, swelling, and eventual loss of joint function. Genetically, multiple genes have been implicated in susceptibility, including HLA-DRB1, IL6, and NOS2, with research indicating a role of mutations in these proteins causing severe inflammatory responses. The signal pathway related closely to arthritis involves pro-inflammatory cytokines like IL-1??, TNF-??, and IL-6, which accelerate the process of synovial inflammation and destructive immune responses. Pharmacologically, arthritis is often managed through Nonsteroidal Anti-Inflammatory Drugs (NSAIDs) such as Ibuprofen or Naproxen, which work by blocking COX enzymes and reducing prostaglandin production to alleviate inflammation and pain; immunosuppressants, like Methotrexate, effectively reducing immune response by blocking purine metabolism; and biologics such as Etanercept, which inhibit TNF-??, and thereby manage autoimmunity. Arthritis often presents comorbidities, such as cardiovascular disease and osteoporosis, while untreated or severe cases can lead to joint deformities. The disease manifests in multiple types including rheumatoid arthritis, osteoarthritis, gout, and others. The predominant inheritance pattern is multifactorial, with both environmental and genetic factors, particularly gene-environment interactions, contributing to the complex architecture of arthritis susceptibility. Diagnostic criteria follow established protocols of questioning medical history, conducting a physical examination, and ordering laboratory tests with blood markers such as Rheumatoid Factor (RF) and Anti-Cyclic Citrullinated Peptide (anti-CCP) serving as key identifiers to confirm inflammatory arthritis."
"arthritis, experimental",D001169,"Experimental arthritis (OMIM ID 'D001169') is a complex model disease employed for understanding the etiology of human arthritis, typified by joint inflammation, swelling, stiffness, and pain, closely mirroring clinical symptoms of human arthritis. Multiple genetic components influence this disease with critical roles played by genes such as HLA-DRB1 encoding a MHC class II cell surface receptor, PTPN22 associated with T cell activation, and CCR5 responsible for immune cell trafficking. As there are various arthritis types, including rheumatoid, psoriatic, and osteoarthritis, experimental models facilitate targeted research into each subtype. Arthritis typically kicks into gear through the activation of the immune system, specifically cytokine signaling pathways utilizing key proteins like tumor necrosis factor-alpha (TNF-??), interleukins (IL), and nuclear factor kappa-light-chain-enhancer of activated B cells (NF-??B). These components contribute to chronic inflammation and joint degradation. Pharmacological intervention often involves nonsteroidal anti-inflammatory drugs (NSAIDs), corticosteroids, and disease-modifying antirheumatic drugs (DMARDs) such as Methotrexate, which inhibits folic acid synthesis and decreases inflammation, TNF blockers like infliximab that prevent the action of TNF-??, thereby stalling the arthritic process, and corticosteroids like prednisone that work by suppressing the immune system and decreasing inflammation. Currently, no clear inheritance patterns have been identified, but a genetic predisposition exists, often with the disease running in families. Comorbidities can include cardiovascular disease, osteoporosis, and depression, augmenting disease morbidity and complexity. Diagnosis invariably involves comprehensive assessment of clinical symptoms, physical examination, and laboratory tests including Complete Blood Count (CBC), erythrocyte sedimentation rate (ESR), C-reactive protein (CRP), and rheumatoid factor (RF) along with radiological imaging for joint damage evaluation."
"arthritis, rheumatoid",D001172,"Rheumatoid arthritis (RA), associated with the OMIM ID 'D001172', is a complex multifactorial disease characterized by chronic, systemic inflammation primarily targeting the synovial joints. The disease is associated with several genes, proteins, and mutations, with the most noteworthy candidates being HLA-DRB1, PTPN22, and the anti-citrullinated protein (ACPA); the presence of latter can serve as a diagnostic marker. The associated signaling pathway for RA involves the aberrant activation of the immune system, specifically the tumor necrosis factor (TNF), interleukin (IL-1, IL-6), and JAK/STAT signaling pathways. This results in the release of inflammatory cytokines, inducing the chronic inflammation and joint damage characteristic of RA. To manage disease progression, common treatments include nonsteroidal anti-inflammatory drugs (NSAIDs), corticosteroids, and disease-modifying antirheumatic drugs (DMARDs) such as methotrexate, hydroxychloroquine, and biological DMARDs which target specific immune system components, for example, TNF inhibitors (etanercept, adalimumab) and JAK inhibitors (tofacitinib). Usage of these drugs can alleviate pain, reduce inflammation, and halt disease progression. Furthermore, comorbidities such as cardiovascular disease, osteoporosis, lung disease, and mental health disorders frequently burden patients. Clinically, RA typically presents with symmetrical joint pain, stiffness, and swelling, frequently accompanied by systemic manifestations such as fatigue, fever, and weight loss. It notably encompasses three types: seropositive RA, seronegative RA, and Juvenile idiopathic arthritis. RA demonstrates a polygenic inheritance pattern with a significant genetic component - notably the presence of rheumatoid factor (RF) and ACPAs, which also play a role in disease pathogenesis. Definitive diagnosis encompasses a combination of clinical presentations, medical history, serologic tests (RF and ACPA), and imaging (X-rays, MRI); adhering to the American College of Rheumatology/European League Against Rheumatism (ACR/EULAR) 2010 classification criteria."
cleft palate,D002972,"Cleft palate is a congenital malformation, associated with OMIM ID D002972, characterized by an opening in the palate caused by the failure of palatal shelves to fuse during embryonic development. This condition can present itself in various forms, including submucous cleft, incomplete cleft, and complete cleft palate, each presenting a continuum of symptomatology ranging from feeding problems, nasal regurgitation, and speech issues to frequent ear infections. Several implicated genes, proteins, and mutations have been identified - prominent examples include the IRF6 gene, MSX1, and TBX22, among others; these gene mutations are believed to disrupt key cellular signaling pathways, notably the WNT and BMP signaling, thereby impeding normal craniofacial development. Genetic component and inheritance patterns have been a subject of rigorous research, and it is now understood that these malformations show multifactorial inheritance, whereas certain syndromic forms may follow Mendelian inheritance patterns. Substantial comorbidities have been associated with this condition, such as hearing loss, frequent ear infections, and psychological difficulties due to affected speech and appearance. Drugs commonly used for treatment involve surgical intervention alongside consequent therapies like speech language therapy. Post-surgery adjuncts include analgesics such as acetaminophen and ibuprofen; antibiotics like Amoxicillin to prevent post-surgery infections; and prednisolone to reduce inflammation and associated discomfort. The assessment and diagnosis of this condition is typically based on clinical examination of oral cavity corroborated by imaging techniques such as ultrasonography and MRI for preoperative evaluation and surgical planning."
