ID,Drug,SMILES,Name
188,DB01106,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,Levocabastine
189,DB00343,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,Diltiazem
190,DB00966,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,Telmisartan
191,DB08887,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,Icosapent ethyl
192,DB01275,NNc1nncc2ccccc12,Hydralazine
193,DB00014,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Goserelin
194,DB01104,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,Sertraline
195,DB00288,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,Amcinonide
196,DB00714,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,Apomorphine
197,DB00214,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,Torasemide
198,DB01098,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,Rosuvastatin
199,DB00121,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,Biotin
200,DB01071,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,Mequitazine
201,DB00176,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,Fluvoxamine
202,DB00972,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,Azelastine
203,DB00291,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,Chlorambucil
204,DB00816,CC(C)NCC(O)c1cc(O)cc(O)c1,Orciprenaline
205,DB00552,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,Pentostatin
206,DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Sorafenib
207,DB00653,O=S(=O)([O-])[O-].[Mg+2],Magnesium sulfate
208,DB00724,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Imiquimod
209,DB00988,NCCc1ccc(O)c(O)c1,Dopamine
210,DB01268,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,Sunitinib
211,DB01296,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Glucosamine
212,DB00749,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,Etodolac
213,DB00334,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Olanzapine
214,DB00388,CNC[C@H](O)c1cccc(O)c1,Phenylephrine
215,DB00481,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,Raloxifene
216,DB01003,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,Cromoglicic acid
217,DB00203,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,Sildenafil
218,DB00146,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,Calcifediol
219,DB01018,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,Guanfacine
220,DB01045,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Rifampicin
221,DB00960,CC(C)NCC(O)COc1cccc2[nH]ccc12,Pindolol
222,DB00195,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,Betaxolol
223,DB00007,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,Leuprolide
224,DB05676,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,Apremilast
225,DB00455,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,Loratadine
226,DB00313,CCCC(CCC)C(=O)O,Valproic acid
227,DB09053,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Ibrutinib
228,DB01186,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,Pergolide
229,DB00521,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,Carteolol
230,DB08801,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,Dimetindene
231,DB00884,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,Risedronic acid
232,DB00206,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,Reserpine
233,DB14540,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Hydrocortisone butyrate
234,DB00494,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,Entacapone
235,DB01148,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,Flavoxate
236,DB00524,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,Metolazone
237,DB00273,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,Topiramate
238,DB08992,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Eperisone
239,DB00341,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Cetirizine
240,DB00323,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,Tolcapone
241,DB00751,NC1=NCC2c3ccccc3Cc3ccccc3N12,Epinastine
242,DB00540,CNCCC=C1c2ccccc2CCc2ccccc21,Nortriptyline
243,DB00331,CN(C)C(=N)NC(=N)N,Metformin
244,DB00745,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,Modafinil
245,DB04572,S=P(N1CC1)(N1CC1)N1CC1,Thiotepa
246,DB01115,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],Nifedipine
247,DB00853,Cn1nnc2c(C(N)=O)ncn2c1=O,Temozolomide
248,DB00475,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,Chlordiazepoxide
249,DB01620,CN(C)CCC(c1ccccc1)c1ccccn1,Pheniramine
250,DB00967,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Desloratadine
251,DB00458,CN(C)CCCN1c2ccccc2CCc2ccccc21,Imipramine
252,DB00641,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,Simvastatin
253,DB00376,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,Trihexyphenidyl
254,DB00748,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,Carbinoxamine
255,DB00928,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Azacitidine
256,DB01241,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,Gemfibrozil
257,DB08933,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,Luliconazole
258,DB04861,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,Nebivolol
259,DB13399,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,Terguride
260,DB00555,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,Lamotrigine
261,DB00778,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,Roxithromycin
262,DB00244,Nc1ccc(O)c(C(=O)O)c1,Mesalazine
263,DB00392,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,Profenamine
264,DB00401,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],Nisoldipine
265,DB00582,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,Voriconazole
266,DB00542,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,Benazepril
267,DB00310,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,Chlorthalidone
268,DB09166,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,Etizolam
269,DB00580,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,Valdecoxib
270,DB00391,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,Sulpiride
271,DB01069,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,Promethazine
272,DB01020,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,Isosorbide mononitrate
273,DB00691,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,Moexipril
274,DB11085,Oc1cccc(O)c1,Resorcinol
275,DB00719,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,Azatadine
276,DB00126,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,Ascorbic acid
277,DB01436,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Alfacalcidol
278,DB00861,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,Diflunisal
279,DB03904,NC(N)=O,Urea
280,DB00480,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Lenalidomide
281,DB01064,CC(C)NCC(O)c1ccc(O)c(O)c1,Isoprenaline
282,DB00835,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,Brompheniramine
283,DB01188,Cc1cc(C2CCCCC2)n(O)c(=O)c1,Ciclopirox
284,DB00790,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,Perindopril
285,DB00873,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)OCCl,Loteprednol
286,DB00715,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,Paroxetine
287,DB09074,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,Olaparib
288,DB00903,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,Etacrynic acid
289,DB00190,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,Carbidopa
290,DB08906,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,Fluticasone furoate
291,DB00567,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,Cephalexin
292,DB01146,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,Diphenylpyraline
293,DB00814,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,Meloxicam
294,DB01173,Cc1ccccc1C(OCCN(C)C)c1ccccc1,Orphenadrine
295,DB00373,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,Timolol
296,DB01144,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,Diclofenamide
297,DB00424,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,Hyoscyamine
298,DB00122,C[N+](C)(C)CCO,Choline
299,DB00283,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,Clemastine
300,DB08800,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,Chloropyramine
301,DB00684,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,Tobramycin
302,DB00368,NC[C@H](O)c1ccc(O)c(O)c1,Norepinephrine
303,DB00734,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Risperidone
304,DB00820,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,Tadalafil
305,DB00950,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,Fexofenadine
306,DB00387,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,Procyclidine
307,DB00870,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,Suprofen
308,DB00589,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,Lisuride
309,DB00342,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,Terfenadine
310,DB06262,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,Droxidopa
311,DB01599,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,Probucol
312,DB00277,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Theophylline
313,DB00270,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,Isradipine
314,DB00787,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Acyclovir
315,DB01170,NC(N)=NCCN1CCCCCCC1,Guanethidine
316,DB01395,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,Drospirenone
317,DB11581,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,Venetoclax
318,DB01553,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,Cloxazolam
319,DB00929,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,Misoprostol
320,DB08802,CC(CN1c2ccccc2Sc2cccnc21)N(C)C,Isothipendyl
321,DB00213,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,Pantoprazole
322,DB01137,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Levofloxacin
323,DB04272,O=C(O)CC(O)(CC(=O)O)C(=O)O,Citric acid
324,DB00636,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,Clofibrate
325,DB00451,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,Levothyroxine
326,DB00253,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,Medrysone
327,DB00175,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,Pravastatin
328,DB00180,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Flunisolide
329,DB00457,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,Prazosin
330,DB00709,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,Lamivudine
331,DB00115,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,Cyanocobalamin
332,DB01224,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Quetiapine
333,DB01278,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O,Pramlintide
334,DB00182,CC(N)Cc1ccccc1,Amphetamine
335,DB00177,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,Valsartan
336,DB00557,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Hydroxyzine
337,DB01023,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,Felodipine
338,DB00316,CC(=O)Nc1ccc(O)cc1,Acetaminophen
339,DB01364,CN[C@@H](C)[C@H](O)c1ccccc1,Ephedrine
340,DB00604,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,Cisapride
341,DB01030,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,Topotecan
342,DB00762,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,Irinotecan
343,DB02659,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,Cholic Acid
344,DB09300,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,Butylscopolamine
345,DB00445,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,Epirubicin
346,DB01956,NCCS(=O)(=O)O,Taurine
347,DB00525,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,Tolnaftate
348,DB06710,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Methyltestosterone
349,DB01108,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,Trilostane
350,DB01169,O=[As]O[As]=O,Arsenic trioxide
351,DB00982,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,Isotretinoin
352,DB00648,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,Mitotane
353,DB00663,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Flumethasone
354,DB01558,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,Bromazepam
355,DB06809,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,Plerixafor
356,DB00205,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,Pyrimethamine
357,DB00187,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,Esmolol
358,DB00800,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,Fenoldopam
359,DB00188,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,Bortezomib
360,DB01100,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Pimozide
361,DB00484,Brc1c(NC2=NCCN2)ccc2nccnc12,Brimonidine
362,DB01054,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,Nitrendipine
363,DB00880,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,Chlorothiazide
364,DB06216,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,Asenapine
365,DB14543,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Hydrocortisone probutate
366,DB00859,CC(C)(S)[C@@H](N)C(=O)O,Penicillamine
367,DB01162,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Terazosin
368,DB01156,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Bupropion
369,DB09293,[131I-],Iodide I-131
370,DB00437,Oc1ncnc2[nH]ncc12,Allopurinol
371,DB01185,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Fluoxymesterone
372,DB00624,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,Testosterone
373,DB01595,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,Nitrazepam
374,DB01230,NC1=NC(=O)C(c2ccccc2)O1,Pemoline
375,DB06176,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,Romidepsin
376,DB00850,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,Perphenazine
377,DB08824,COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF,Ioflupane I-123
378,DB04339,N[C@@H](CSCC(=O)O)C(=O)O,Carbocisteine
379,DB00651,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,Dyphylline
380,DB00426,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,Famciclovir
381,DB00271,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Diatrizoate
382,DB00275,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,Olmesartan
383,DB01035,CCN(CC)CCNC(=O)c1ccc(N)cc1,Procainamide
384,DB01250,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,Olsalazine
385,DB01189,FC(F)OC(F)C(F)(F)F,Desflurane
386,DB00655,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,Estrone
387,DB12877,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,Oxatomide
388,DB00811,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,Ribavirin
389,DB00318,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Codeine
390,DB00615,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,Rifabutin
391,DB06823,CC(S)C(=O)NCC(=O)O,Tiopronin
392,DB00221,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,Isoetharine
393,DB00196,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,Fluconazole
394,DB00594,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,Amiloride
395,DB00332,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Ipratropium
396,DB01129,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,Rabeprazole
397,DB01291,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,Pirbuterol
398,DB09128,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,Brexpiprazole
399,DB08860,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,Pitavastatin
400,DB07615,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,Tranilast
